,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Like
38,0.524,0.467,2,-10.951,1,0.0466,0.0232,0.000798,0.106,0.52,78.96,audio_features,0nwbsZpj9erNpO8AmguFoW,spotify:track:0nwbsZpj9erNpO8AmguFoW,https://api.spotify.com/v1/tracks/0nwbsZpj9erNpO8AmguFoW,https://api.spotify.com/v1/audio-analysis/0nwbsZpj9erNpO8AmguFoW,181067,4,1
39,0.378,0.417,8,-8.345,1,0.0312,0.198,0.309,0.19,0.279,83.814,audio_features,71EWnt9slIzlyoTaXEyzX6,spotify:track:71EWnt9slIzlyoTaXEyzX6,https://api.spotify.com/v1/tracks/71EWnt9slIzlyoTaXEyzX6,https://api.spotify.com/v1/audio-analysis/71EWnt9slIzlyoTaXEyzX6,171264,4,1
40,0.445,0.157,7,-18.2,1,0.0384,0.35,0.756,0.153,0.122,118.498,audio_features,7a2WDmmAi3kdTRR7vJDpOO,spotify:track:7a2WDmmAi3kdTRR7vJDpOO,https://api.spotify.com/v1/tracks/7a2WDmmAi3kdTRR7vJDpOO,https://api.spotify.com/v1/audio-analysis/7a2WDmmAi3kdTRR7vJDpOO,314500,4,1
41,0.581,0.121,0,-21.021,0,0.0561,0.945,0.0508,0.0661,0.0398,121.879,audio_features,4bQGjPWatub54f5zQ9cGXv,spotify:track:4bQGjPWatub54f5zQ9cGXv,https://api.spotify.com/v1/tracks/4bQGjPWatub54f5zQ9cGXv,https://api.spotify.com/v1/audio-analysis/4bQGjPWatub54f5zQ9cGXv,211500,4,1
42,0.71,0.698,2,-5.797,1,0.0332,0.0697,0.0,0.478,0.852,104.007,audio_features,4asjU3sDnn3002bTJIg2vZ,spotify:track:4asjU3sDnn3002bTJIg2vZ,https://api.spotify.com/v1/tracks/4asjU3sDnn3002bTJIg2vZ,https://api.spotify.com/v1/audio-analysis/4asjU3sDnn3002bTJIg2vZ,264813,4,1
43,0.305,0.613,9,-4.652,0,0.047,0.00708,0.00245,0.121,0.547,183.992,audio_features,3oNNoQOCA81S0SBkn8Hs7l,spotify:track:3oNNoQOCA81S0SBkn8Hs7l,https://api.spotify.com/v1/tracks/3oNNoQOCA81S0SBkn8Hs7l,https://api.spotify.com/v1/audio-analysis/3oNNoQOCA81S0SBkn8Hs7l,507160,4,1
44,0.639,0.903,11,-5.013,0,0.0371,0.00963,7.06e-05,0.174,0.96,135.938,audio_features,0Fe3WxeO6lZZxj7ytvbDUh,spotify:track:0Fe3WxeO6lZZxj7ytvbDUh,https://api.spotify.com/v1/tracks/0Fe3WxeO6lZZxj7ytvbDUh,https://api.spotify.com/v1/audio-analysis/0Fe3WxeO6lZZxj7ytvbDUh,246173,4,1
45,0.523,0.477,6,-9.076,1,0.0254,0.0961,0.000106,0.101,0.249,76.973,audio_features,5op53ANI4exiWqFHKuwWxd,spotify:track:5op53ANI4exiWqFHKuwWxd,https://api.spotify.com/v1/tracks/5op53ANI4exiWqFHKuwWxd,https://api.spotify.com/v1/audio-analysis/5op53ANI4exiWqFHKuwWxd,272507,4,1
46,0.646,0.964,7,-3.177,1,0.0369,0.0407,3.65e-06,0.293,0.747,95.479,audio_features,4ToYlykhwpW98KtMIGnWQK,spotify:track:4ToYlykhwpW98KtMIGnWQK,https://api.spotify.com/v1/tracks/4ToYlykhwpW98KtMIGnWQK,https://api.spotify.com/v1/audio-analysis/4ToYlykhwpW98KtMIGnWQK,224333,4,1
47,0.697,0.877,3,-4.465,1,0.0462,0.462,0.00943,0.083,0.802,101.99,audio_features,4iEOVEULZRvmzYSZY2ViKN,spotify:track:4iEOVEULZRvmzYSZY2ViKN,https://api.spotify.com/v1/tracks/4iEOVEULZRvmzYSZY2ViKN,https://api.spotify.com/v1/audio-analysis/4iEOVEULZRvmzYSZY2ViKN,173631,4,1
48,0.583,0.8,11,-8.505,0,0.0349,0.444,0.843,0.201,0.253,144.024,audio_features,3Hbd6gPZ0QErPWXVkC6GRt,spotify:track:3Hbd6gPZ0QErPWXVkC6GRt,https://api.spotify.com/v1/tracks/3Hbd6gPZ0QErPWXVkC6GRt,https://api.spotify.com/v1/audio-analysis/3Hbd6gPZ0QErPWXVkC6GRt,157813,4,1
49,0.702,0.607,2,-6.509,1,0.0405,0.364,0.0263,0.123,0.436,116.961,audio_features,1o22EcqsCANhwYdaNOSdwS,spotify:track:1o22EcqsCANhwYdaNOSdwS,https://api.spotify.com/v1/tracks/1o22EcqsCANhwYdaNOSdwS,https://api.spotify.com/v1/audio-analysis/1o22EcqsCANhwYdaNOSdwS,181400,4,1
50,0.356,0.48,5,-10.633,1,0.0347,0.778,0.00327,0.0784,0.283,171.79,audio_features,4tmwiN9YU7xMjh2hoqcVuI,spotify:track:4tmwiN9YU7xMjh2hoqcVuI,https://api.spotify.com/v1/tracks/4tmwiN9YU7xMjh2hoqcVuI,https://api.spotify.com/v1/audio-analysis/4tmwiN9YU7xMjh2hoqcVuI,305981,4,1
51,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,audio_features,6QgjcU0zLnzq5OrUoSZ3OK,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,https://api.spotify.com/v1/tracks/6QgjcU0zLnzq5OrUoSZ3OK,https://api.spotify.com/v1/audio-analysis/6QgjcU0zLnzq5OrUoSZ3OK,163253,4,1
52,0.614,0.67,10,-6.616,1,0.0329,0.36,0.0856,0.108,0.578,80.022,audio_features,2I6mf3RFLj1c0k5OpX5sKg,spotify:track:2I6mf3RFLj1c0k5OpX5sKg,https://api.spotify.com/v1/tracks/2I6mf3RFLj1c0k5OpX5sKg,https://api.spotify.com/v1/audio-analysis/2I6mf3RFLj1c0k5OpX5sKg,164520,4,1
53,0.501,0.877,6,-6.369,1,0.0484,0.137,0.0,0.309,0.268,96.993,audio_features,01nkjRsgpYwtbH94l7y4cg,spotify:track:01nkjRsgpYwtbH94l7y4cg,https://api.spotify.com/v1/tracks/01nkjRsgpYwtbH94l7y4cg,https://api.spotify.com/v1/audio-analysis/01nkjRsgpYwtbH94l7y4cg,259507,4,1
54,0.529,0.83,6,-5.428,1,0.0397,0.0211,0.0,0.0983,0.318,93.933,audio_features,6gSKswfcoWvaadqvuMF3Y7,spotify:track:6gSKswfcoWvaadqvuMF3Y7,https://api.spotify.com/v1/tracks/6gSKswfcoWvaadqvuMF3Y7,https://api.spotify.com/v1/audio-analysis/6gSKswfcoWvaadqvuMF3Y7,257787,4,1
55,0.597,0.82,5,-2.529,1,0.0582,0.0328,0.0,0.119,0.576,119.969,audio_features,6OqdF0vHI9xkqswI7EK0cD,spotify:track:6OqdF0vHI9xkqswI7EK0cD,https://api.spotify.com/v1/tracks/6OqdF0vHI9xkqswI7EK0cD,https://api.spotify.com/v1/audio-analysis/6OqdF0vHI9xkqswI7EK0cD,236787,4,1
56,0.531,0.843,9,-2.569,0,0.0429,0.0909,0.0,0.0283,0.392,136.991,audio_features,0vFMQi8ZnOM2y8cuReZTZ2,spotify:track:0vFMQi8ZnOM2y8cuReZTZ2,https://api.spotify.com/v1/tracks/0vFMQi8ZnOM2y8cuReZTZ2,https://api.spotify.com/v1/audio-analysis/0vFMQi8ZnOM2y8cuReZTZ2,240133,4,1
