,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.644,0.625,0,-6.648,0,0.0711,0.0107,0.00292,0.0891,0.727,164.06,audio_features,5LN08cavTRWlS8PT8MDbur,spotify:track:5LN08cavTRWlS8PT8MDbur,https://api.spotify.com/v1/tracks/5LN08cavTRWlS8PT8MDbur,https://api.spotify.com/v1/audio-analysis/5LN08cavTRWlS8PT8MDbur,220840,4
1,0.473,0.738,0,-4.462,1,0.0426,0.0031,1.63e-05,0.103,0.499,161.863,audio_features,0J2wSeaQtC93AYYhBYwi5O,spotify:track:0J2wSeaQtC93AYYhBYwi5O,https://api.spotify.com/v1/tracks/0J2wSeaQtC93AYYhBYwi5O,https://api.spotify.com/v1/audio-analysis/0J2wSeaQtC93AYYhBYwi5O,201240,4
2,0.473,0.714,5,-6.495,1,0.0288,0.151,0.000328,0.389,0.414,150.497,audio_features,1gxsLo01zcUjAERjyC3cNR,spotify:track:1gxsLo01zcUjAERjyC3cNR,https://api.spotify.com/v1/tracks/1gxsLo01zcUjAERjyC3cNR,https://api.spotify.com/v1/audio-analysis/1gxsLo01zcUjAERjyC3cNR,219640,4
3,0.62,0.57,7,-6.125,1,0.0306,0.844,0.000598,0.161,0.351,142.428,audio_features,2hA1hGWrc3fcUpfpa6Kc5C,spotify:track:2hA1hGWrc3fcUpfpa6Kc5C,https://api.spotify.com/v1/tracks/2hA1hGWrc3fcUpfpa6Kc5C,https://api.spotify.com/v1/audio-analysis/2hA1hGWrc3fcUpfpa6Kc5C,233853,4
4,0.443,0.517,9,-8.189,0,0.0534,0.0471,0.0975,0.461,0.307,127.877,audio_features,32CKeVUg6lxM7fW2xzMlm8,spotify:track:32CKeVUg6lxM7fW2xzMlm8,https://api.spotify.com/v1/tracks/32CKeVUg6lxM7fW2xzMlm8,https://api.spotify.com/v1/audio-analysis/32CKeVUg6lxM7fW2xzMlm8,258787,4
5,0.729,0.772,7,-5.406,1,0.095,0.158,0.0,0.326,0.751,125.972,audio_features,1PoXTtHGNWxJIzvcP7ov5U,spotify:track:1PoXTtHGNWxJIzvcP7ov5U,https://api.spotify.com/v1/tracks/1PoXTtHGNWxJIzvcP7ov5U,https://api.spotify.com/v1/audio-analysis/1PoXTtHGNWxJIzvcP7ov5U,198754,4
6,0.624,0.817,4,-4.403,1,0.0312,0.037,0.247,0.358,0.439,113.028,audio_features,2HbkWTyBJf7hp4uEAWIX4h,spotify:track:2HbkWTyBJf7hp4uEAWIX4h,https://api.spotify.com/v1/tracks/2HbkWTyBJf7hp4uEAWIX4h,https://api.spotify.com/v1/audio-analysis/2HbkWTyBJf7hp4uEAWIX4h,200600,4
7,0.535,0.139,4,-15.321,0,0.0369,0.923,0.0,0.215,0.377,147.507,audio_features,0CSMtmcfcDJ00FxaHLuMQL,spotify:track:0CSMtmcfcDJ00FxaHLuMQL,https://api.spotify.com/v1/tracks/0CSMtmcfcDJ00FxaHLuMQL,https://api.spotify.com/v1/audio-analysis/0CSMtmcfcDJ00FxaHLuMQL,159628,4
8,0.652,0.669,11,-7.797,0,0.0262,0.122,0.00039,0.169,0.769,115.047,audio_features,3BpUZB0tw4zNmG3Iw1mclL,spotify:track:3BpUZB0tw4zNmG3Iw1mclL,https://api.spotify.com/v1/tracks/3BpUZB0tw4zNmG3Iw1mclL,https://api.spotify.com/v1/audio-analysis/3BpUZB0tw4zNmG3Iw1mclL,194009,4
9,0.547,0.755,11,-4.708,1,0.0316,7.51e-05,0.109,0.121,0.6,117.006,audio_features,20TfGN3X3b2hP861CVfzci,spotify:track:20TfGN3X3b2hP861CVfzci,https://api.spotify.com/v1/tracks/20TfGN3X3b2hP861CVfzci,https://api.spotify.com/v1/audio-analysis/20TfGN3X3b2hP861CVfzci,175467,4
10,0.497,0.541,2,-7.22,1,0.033,0.197,0.189,0.183,0.136,122.581,audio_features,6h3FOkiOixsUUEgIHS0qR5,spotify:track:6h3FOkiOixsUUEgIHS0qR5,https://api.spotify.com/v1/tracks/6h3FOkiOixsUUEgIHS0qR5,https://api.spotify.com/v1/audio-analysis/6h3FOkiOixsUUEgIHS0qR5,333514,4
11,0.48,0.31,9,-7.887,1,0.0258,0.312,1.47e-05,0.113,0.16,86.149,audio_features,2AF5Kzxb4pz7j79Ity84pP,spotify:track:2AF5Kzxb4pz7j79Ity84pP,https://api.spotify.com/v1/tracks/2AF5Kzxb4pz7j79Ity84pP,https://api.spotify.com/v1/audio-analysis/2AF5Kzxb4pz7j79Ity84pP,391829,4
12,0.803,0.384,7,-6.522,1,0.179,0.571,0.0,0.194,0.503,141.924,audio_features,1XJ93XskwJf7PCyIVLbNBt,spotify:track:1XJ93XskwJf7PCyIVLbNBt,https://api.spotify.com/v1/tracks/1XJ93XskwJf7PCyIVLbNBt,https://api.spotify.com/v1/audio-analysis/1XJ93XskwJf7PCyIVLbNBt,210147,4
13,0.803,0.431,8,-10.817,1,0.0335,0.691,0.000699,0.106,0.212,103.948,audio_features,5Y42u37PlyQXegnuI1Hpo1,spotify:track:5Y42u37PlyQXegnuI1Hpo1,https://api.spotify.com/v1/tracks/5Y42u37PlyQXegnuI1Hpo1,https://api.spotify.com/v1/audio-analysis/5Y42u37PlyQXegnuI1Hpo1,219375,4
14,0.539,0.834,4,-5.337,1,0.0389,0.262,0.106,0.102,0.482,117.693,audio_features,6ZUTxTqY69X4JymwsaMFsH,spotify:track:6ZUTxTqY69X4JymwsaMFsH,https://api.spotify.com/v1/tracks/6ZUTxTqY69X4JymwsaMFsH,https://api.spotify.com/v1/audio-analysis/6ZUTxTqY69X4JymwsaMFsH,275533,4
15,0.552,0.299,8,-11.372,1,0.0315,0.485,0.0,0.113,0.0608,124.273,audio_features,2pwdgph51JIwFkhmvZdgAn,spotify:track:2pwdgph51JIwFkhmvZdgAn,https://api.spotify.com/v1/tracks/2pwdgph51JIwFkhmvZdgAn,https://api.spotify.com/v1/audio-analysis/2pwdgph51JIwFkhmvZdgAn,259347,4
16,0.708,0.706,9,-6.45,0,0.0385,0.276,0.00631,0.115,0.45,119.027,audio_features,6TRQPx5Z0YZ0pCQX7JbtlS,spotify:track:6TRQPx5Z0YZ0pCQX7JbtlS,https://api.spotify.com/v1/tracks/6TRQPx5Z0YZ0pCQX7JbtlS,https://api.spotify.com/v1/audio-analysis/6TRQPx5Z0YZ0pCQX7JbtlS,184827,4
17,0.373,0.63,7,-5.131,1,0.0461,0.0552,0.0,0.107,0.352,115.942,audio_features,5uZLsGY9fknBd5Rxr7AIss,spotify:track:5uZLsGY9fknBd5Rxr7AIss,https://api.spotify.com/v1/tracks/5uZLsGY9fknBd5Rxr7AIss,https://api.spotify.com/v1/audio-analysis/5uZLsGY9fknBd5Rxr7AIss,202200,4
18,0.328,0.867,4,-5.53,1,0.0812,0.00548,4.33e-06,0.103,0.336,145.25,audio_features,0tCJ4iU48j9B6xMjXx35Ht,spotify:track:0tCJ4iU48j9B6xMjXx35Ht,https://api.spotify.com/v1/tracks/0tCJ4iU48j9B6xMjXx35Ht,https://api.spotify.com/v1/audio-analysis/0tCJ4iU48j9B6xMjXx35Ht,264677,4
19,0.485,0.513,0,-8.912,1,0.0238,0.616,0.00805,0.121,0.192,93.997,audio_features,4q9w3UGW3utmeUruBLUoZZ,spotify:track:4q9w3UGW3utmeUruBLUoZZ,https://api.spotify.com/v1/tracks/4q9w3UGW3utmeUruBLUoZZ,https://api.spotify.com/v1/audio-analysis/4q9w3UGW3utmeUruBLUoZZ,206465,4
20,0.652,0.545,1,-9.021,1,0.0358,0.774,0.0428,0.0847,0.626,107.019,audio_features,6LxcPUqx6noURdA5qc4BAT,spotify:track:6LxcPUqx6noURdA5qc4BAT,https://api.spotify.com/v1/tracks/6LxcPUqx6noURdA5qc4BAT,https://api.spotify.com/v1/audio-analysis/6LxcPUqx6noURdA5qc4BAT,229760,4
21,0.483,0.695,0,-5.493,1,0.0313,0.00461,0.000661,0.102,0.294,126.212,audio_features,4UADR6fNQfx4fxkiRQvSy2,spotify:track:4UADR6fNQfx4fxkiRQvSy2,https://api.spotify.com/v1/tracks/4UADR6fNQfx4fxkiRQvSy2,https://api.spotify.com/v1/audio-analysis/4UADR6fNQfx4fxkiRQvSy2,295333,4
22,0.586,0.79,11,-4.109,1,0.0346,0.00177,0.319,0.0713,0.198,119.991,audio_features,1CcmFeA9wLy2mjra3ix09C,spotify:track:1CcmFeA9wLy2mjra3ix09C,https://api.spotify.com/v1/tracks/1CcmFeA9wLy2mjra3ix09C,https://api.spotify.com/v1/audio-analysis/1CcmFeA9wLy2mjra3ix09C,224240,4
23,0.596,0.633,10,-3.602,0,0.0594,0.131,0.0,0.343,0.473,148.09,audio_features,3UFnjqDaLc6WMtvE1UrXek,spotify:track:3UFnjqDaLc6WMtvE1UrXek,https://api.spotify.com/v1/tracks/3UFnjqDaLc6WMtvE1UrXek,https://api.spotify.com/v1/audio-analysis/3UFnjqDaLc6WMtvE1UrXek,213573,4
24,0.645,0.649,0,-8.174,1,0.0299,0.0763,0.0362,0.227,0.614,96.033,audio_features,7ibjRsuXfAVlya4mCbw2G4,spotify:track:7ibjRsuXfAVlya4mCbw2G4,https://api.spotify.com/v1/tracks/7ibjRsuXfAVlya4mCbw2G4,https://api.spotify.com/v1/audio-analysis/7ibjRsuXfAVlya4mCbw2G4,224867,4
25,0.294,0.0598,11,-13.03,1,0.0365,0.941,0.0,0.144,0.254,82.088,audio_features,2UJ9eh4cex6ulccBrskJXd,spotify:track:2UJ9eh4cex6ulccBrskJXd,https://api.spotify.com/v1/tracks/2UJ9eh4cex6ulccBrskJXd,https://api.spotify.com/v1/audio-analysis/2UJ9eh4cex6ulccBrskJXd,212212,4
26,0.601,0.596,11,-7.373,1,0.0251,0.694,0.00579,0.107,0.457,108.0,audio_features,75nN4kH1uzSsUdMrdUVfrq,spotify:track:75nN4kH1uzSsUdMrdUVfrq,https://api.spotify.com/v1/tracks/75nN4kH1uzSsUdMrdUVfrq,https://api.spotify.com/v1/audio-analysis/75nN4kH1uzSsUdMrdUVfrq,161043,4
27,0.73,0.355,10,-9.13,0,0.036,0.154,0.00155,0.117,0.559,142.143,audio_features,6UDsXXPcmbCwXRlNp8s1wT,spotify:track:6UDsXXPcmbCwXRlNp8s1wT,https://api.spotify.com/v1/tracks/6UDsXXPcmbCwXRlNp8s1wT,https://api.spotify.com/v1/audio-analysis/6UDsXXPcmbCwXRlNp8s1wT,202653,4
28,0.457,0.455,0,-8.112,1,0.188,0.348,0.00122,0.142,0.163,100.049,audio_features,71cUqXJ3h1r0Ees6YdENLU,spotify:track:71cUqXJ3h1r0Ees6YdENLU,https://api.spotify.com/v1/tracks/71cUqXJ3h1r0Ees6YdENLU,https://api.spotify.com/v1/audio-analysis/71cUqXJ3h1r0Ees6YdENLU,269693,4
29,0.205,0.261,10,-10.488,1,0.0318,0.844,8.99e-05,0.09,0.171,74.966,audio_features,0VPIbHXFfIApkY80XfEbmj,spotify:track:0VPIbHXFfIApkY80XfEbmj,https://api.spotify.com/v1/tracks/0VPIbHXFfIApkY80XfEbmj,https://api.spotify.com/v1/audio-analysis/0VPIbHXFfIApkY80XfEbmj,382507,4
30,0.623,0.763,9,-4.412,1,0.0719,0.199,6.52e-06,0.126,0.199,108.871,audio_features,6iCJCZqDJjmBxt07Oid6FI,spotify:track:6iCJCZqDJjmBxt07Oid6FI,https://api.spotify.com/v1/tracks/6iCJCZqDJjmBxt07Oid6FI,https://api.spotify.com/v1/audio-analysis/6iCJCZqDJjmBxt07Oid6FI,226610,4
31,0.398,0.716,0,-5.254,1,0.0392,0.0764,0.0,0.0848,0.494,117.295,audio_features,6bTn1ovliI0OkjUNkiMBJq,spotify:track:6bTn1ovliI0OkjUNkiMBJq,https://api.spotify.com/v1/tracks/6bTn1ovliI0OkjUNkiMBJq,https://api.spotify.com/v1/audio-analysis/6bTn1ovliI0OkjUNkiMBJq,193429,4
32,0.405,0.957,4,-4.326,1,0.0509,0.323,0.779,0.101,0.735,132.377,audio_features,12Eg39q87Bi9FN99roiI11,spotify:track:12Eg39q87Bi9FN99roiI11,https://api.spotify.com/v1/tracks/12Eg39q87Bi9FN99roiI11,https://api.spotify.com/v1/audio-analysis/12Eg39q87Bi9FN99roiI11,203747,4
33,0.595,0.772,8,-8.033,1,0.0367,0.126,0.926,0.221,0.345,134.9,audio_features,0kwBATkVUAG7JRMEosNUUs,spotify:track:0kwBATkVUAG7JRMEosNUUs,https://api.spotify.com/v1/tracks/0kwBATkVUAG7JRMEosNUUs,https://api.spotify.com/v1/audio-analysis/0kwBATkVUAG7JRMEosNUUs,163292,4
34,0.452,0.967,9,-3.042,1,0.0669,0.0645,0.0477,0.197,0.629,156.988,audio_features,09kvp605VBJEeK65QIgnrx,spotify:track:09kvp605VBJEeK65QIgnrx,https://api.spotify.com/v1/tracks/09kvp605VBJEeK65QIgnrx,https://api.spotify.com/v1/audio-analysis/09kvp605VBJEeK65QIgnrx,141133,4
35,0.497,0.292,4,-9.515,1,0.0452,0.696,4.46e-06,0.156,0.193,121.544,audio_features,7FMedJPiag48GjON0tp2PO,spotify:track:7FMedJPiag48GjON0tp2PO,https://api.spotify.com/v1/tracks/7FMedJPiag48GjON0tp2PO,https://api.spotify.com/v1/audio-analysis/7FMedJPiag48GjON0tp2PO,387693,4
36,0.591,0.423,4,-11.602,0,0.033,0.16,0.0341,0.122,0.582,150.762,audio_features,1sKtOBf6mxUPM59b0Darbs,spotify:track:1sKtOBf6mxUPM59b0Darbs,https://api.spotify.com/v1/tracks/1sKtOBf6mxUPM59b0Darbs,https://api.spotify.com/v1/audio-analysis/1sKtOBf6mxUPM59b0Darbs,227092,4
37,0.789,0.476,9,-10.674,1,0.0338,0.782,0.0937,0.113,0.773,123.977,audio_features,5L3XdGLaieG0cGpgsFmzku,spotify:track:5L3XdGLaieG0cGpgsFmzku,https://api.spotify.com/v1/tracks/5L3XdGLaieG0cGpgsFmzku,https://api.spotify.com/v1/audio-analysis/5L3XdGLaieG0cGpgsFmzku,316468,4
38,0.504,0.682,9,-5.702,1,0.0332,0.0002,0.00205,0.147,0.207,123.848,audio_features,43E0f1S0rOGCo6YYRYHjHP,spotify:track:43E0f1S0rOGCo6YYRYHjHP,https://api.spotify.com/v1/tracks/43E0f1S0rOGCo6YYRYHjHP,https://api.spotify.com/v1/audio-analysis/43E0f1S0rOGCo6YYRYHjHP,308347,4
39,0.739,0.471,8,-8.456,1,0.0436,0.0661,9.78e-05,0.116,0.31,90.002,audio_features,5dmPNuHmRRJuHmJTDa7NuJ,spotify:track:5dmPNuHmRRJuHmJTDa7NuJ,https://api.spotify.com/v1/tracks/5dmPNuHmRRJuHmJTDa7NuJ,https://api.spotify.com/v1/audio-analysis/5dmPNuHmRRJuHmJTDa7NuJ,194400,4
40,0.561,0.653,1,-6.9,0,0.0288,9.36e-05,0.000267,0.0773,0.384,117.862,audio_features,0MYDACCBSzyuXD9BUHjgcF,spotify:track:0MYDACCBSzyuXD9BUHjgcF,https://api.spotify.com/v1/tracks/0MYDACCBSzyuXD9BUHjgcF,https://api.spotify.com/v1/audio-analysis/0MYDACCBSzyuXD9BUHjgcF,207333,4
41,0.383,0.454,0,-9.471,0,0.0292,0.667,0.00192,0.0852,0.148,191.946,audio_features,2LHS9enFCzjnxoEnDIXy7j,spotify:track:2LHS9enFCzjnxoEnDIXy7j,https://api.spotify.com/v1/tracks/2LHS9enFCzjnxoEnDIXy7j,https://api.spotify.com/v1/audio-analysis/2LHS9enFCzjnxoEnDIXy7j,133227,4
42,0.886,0.371,5,-10.542,1,0.0465,0.349,0.00138,0.0985,0.928,115.026,audio_features,6PuoZT4kgw5DrUEdnQ6e01,spotify:track:6PuoZT4kgw5DrUEdnQ6e01,https://api.spotify.com/v1/tracks/6PuoZT4kgw5DrUEdnQ6e01,https://api.spotify.com/v1/audio-analysis/6PuoZT4kgw5DrUEdnQ6e01,219261,4
43,0.448,0.154,9,-14.389,1,0.0423,0.98,0.0,0.0745,0.385,116.475,audio_features,6MGdtBZebfkkq4YXz4ZAsc,spotify:track:6MGdtBZebfkkq4YXz4ZAsc,https://api.spotify.com/v1/tracks/6MGdtBZebfkkq4YXz4ZAsc,https://api.spotify.com/v1/audio-analysis/6MGdtBZebfkkq4YXz4ZAsc,233437,4
