,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
20,0.623,0.423,1,-8.651,1,0.0264,0.703,0.000112,0.0987,0.618,129.002,audio_features,5NKCYa5ymJjjJiDO7Pqm5P,spotify:track:5NKCYa5ymJjjJiDO7Pqm5P,https://api.spotify.com/v1/tracks/5NKCYa5ymJjjJiDO7Pqm5P,https://api.spotify.com/v1/audio-analysis/5NKCYa5ymJjjJiDO7Pqm5P,218973,4
21,0.564,0.446,2,-8.136,1,0.028,0.697,1.88e-06,0.203,0.634,167.882,audio_features,0cImyGBhNK4WmcCbixR0b6,spotify:track:0cImyGBhNK4WmcCbixR0b6,https://api.spotify.com/v1/tracks/0cImyGBhNK4WmcCbixR0b6,https://api.spotify.com/v1/audio-analysis/0cImyGBhNK4WmcCbixR0b6,186973,4
22,0.545,0.192,5,-12.891,1,0.0308,0.643,0.00037,0.105,0.372,77.405,audio_features,0XfPBlyP3aoJ3Uv4J1flR8,spotify:track:0XfPBlyP3aoJ3Uv4J1flR8,https://api.spotify.com/v1/tracks/0XfPBlyP3aoJ3Uv4J1flR8,https://api.spotify.com/v1/audio-analysis/0XfPBlyP3aoJ3Uv4J1flR8,251827,4
23,0.215,0.46,2,-6.858,1,0.0303,0.544,0.445,0.0641,0.0651,142.462,audio_features,1oCUj7YvKxxSKRDAU3pePN,spotify:track:1oCUj7YvKxxSKRDAU3pePN,https://api.spotify.com/v1/tracks/1oCUj7YvKxxSKRDAU3pePN,https://api.spotify.com/v1/audio-analysis/1oCUj7YvKxxSKRDAU3pePN,354600,4
24,0.376,0.566,11,-6.424,1,0.0255,0.555,0.191,0.146,0.19,160.368,audio_features,4QwMsmmusOzgnohJ6wBjdN,spotify:track:4QwMsmmusOzgnohJ6wBjdN,https://api.spotify.com/v1/tracks/4QwMsmmusOzgnohJ6wBjdN,https://api.spotify.com/v1/audio-analysis/4QwMsmmusOzgnohJ6wBjdN,265187,4
25,0.414,0.52,3,-7.471,1,0.0276,0.135,0.0,0.641,0.166,87.005,audio_features,6HlcJB4Zk2tE2WMqHAllSb,spotify:track:6HlcJB4Zk2tE2WMqHAllSb,https://api.spotify.com/v1/tracks/6HlcJB4Zk2tE2WMqHAllSb,https://api.spotify.com/v1/audio-analysis/6HlcJB4Zk2tE2WMqHAllSb,264627,4
26,0.484,0.517,3,-7.691,1,0.0279,0.752,0.102,0.0928,0.161,102.213,audio_features,5TjIyeNaET7Y0TZlXg61xq,spotify:track:5TjIyeNaET7Y0TZlXg61xq,https://api.spotify.com/v1/tracks/5TjIyeNaET7Y0TZlXg61xq,https://api.spotify.com/v1/audio-analysis/5TjIyeNaET7Y0TZlXg61xq,332467,3
27,0.355,0.671,2,-5.824,1,0.0324,0.471,0.00011,0.288,0.113,135.027,audio_features,4Rlo7NPApLjjoEefxzDpVG,spotify:track:4Rlo7NPApLjjoEefxzDpVG,https://api.spotify.com/v1/tracks/4Rlo7NPApLjjoEefxzDpVG,https://api.spotify.com/v1/audio-analysis/4Rlo7NPApLjjoEefxzDpVG,298680,4
28,0.577,0.598,9,-12.085,1,0.0323,0.796,4.36e-06,0.131,0.765,154.391,audio_features,17kb0GRFY45a2Z6JFbVBQO,spotify:track:17kb0GRFY45a2Z6JFbVBQO,https://api.spotify.com/v1/tracks/17kb0GRFY45a2Z6JFbVBQO,https://api.spotify.com/v1/audio-analysis/17kb0GRFY45a2Z6JFbVBQO,128667,4
29,0.504,0.162,7,-18.266,1,0.0822,0.925,0.103,0.128,0.185,111.861,audio_features,2XkkSM1CCpY1ljqohN5ldg,spotify:track:2XkkSM1CCpY1ljqohN5ldg,https://api.spotify.com/v1/tracks/2XkkSM1CCpY1ljqohN5ldg,https://api.spotify.com/v1/audio-analysis/2XkkSM1CCpY1ljqohN5ldg,120412,4
30,0.57,0.791,7,-10.065,1,0.188,0.24,0.775,0.331,0.15,195.88,audio_features,3kBXJ4S6RsJV0tpo1jnCFf,spotify:track:3kBXJ4S6RsJV0tpo1jnCFf,https://api.spotify.com/v1/tracks/3kBXJ4S6RsJV0tpo1jnCFf,https://api.spotify.com/v1/audio-analysis/3kBXJ4S6RsJV0tpo1jnCFf,186773,4
31,0.704,0.203,9,-12.101,0,0.0394,0.828,0.29,0.112,0.156,78.255,audio_features,3ISRnIFXx0S63z8iZBvr4u,spotify:track:3ISRnIFXx0S63z8iZBvr4u,https://api.spotify.com/v1/tracks/3ISRnIFXx0S63z8iZBvr4u,https://api.spotify.com/v1/audio-analysis/3ISRnIFXx0S63z8iZBvr4u,151691,4
32,0.7,0.448,4,-13.016,1,0.111,0.743,0.463,0.179,0.731,153.992,audio_features,2iTma4kHADFcTlR24R8hIP,spotify:track:2iTma4kHADFcTlR24R8hIP,https://api.spotify.com/v1/tracks/2iTma4kHADFcTlR24R8hIP,https://api.spotify.com/v1/audio-analysis/2iTma4kHADFcTlR24R8hIP,175678,4
33,0.316,0.0701,0,-17.106,1,0.045,0.965,0.881,0.169,0.284,125.879,audio_features,2M1tY1s5xYtKzkmMSMJ1gs,spotify:track:2M1tY1s5xYtKzkmMSMJ1gs,https://api.spotify.com/v1/tracks/2M1tY1s5xYtKzkmMSMJ1gs,https://api.spotify.com/v1/audio-analysis/2M1tY1s5xYtKzkmMSMJ1gs,99399,4
34,0.703,0.445,5,-8.399,0,0.0421,0.499,0.014,0.109,0.608,158.085,audio_features,4TfCsnA1oYDI91st4X594i,spotify:track:4TfCsnA1oYDI91st4X594i,https://api.spotify.com/v1/tracks/4TfCsnA1oYDI91st4X594i,https://api.spotify.com/v1/audio-analysis/4TfCsnA1oYDI91st4X594i,261930,4
35,0.761,0.563,6,-7.894,0,0.235,0.645,6.78e-06,0.786,0.809,100.986,audio_features,0snPmmKHsUJhmQLPpHnR4M,spotify:track:0snPmmKHsUJhmQLPpHnR4M,https://api.spotify.com/v1/tracks/0snPmmKHsUJhmQLPpHnR4M,https://api.spotify.com/v1/audio-analysis/0snPmmKHsUJhmQLPpHnR4M,211764,4
36,0.32,0.663,0,-5.802,1,0.0291,0.00141,6.7e-05,0.0968,0.673,189.891,audio_features,6qMiZK4mGuCRkVwRFds4Sm,spotify:track:6qMiZK4mGuCRkVwRFds4Sm,https://api.spotify.com/v1/tracks/6qMiZK4mGuCRkVwRFds4Sm,https://api.spotify.com/v1/audio-analysis/6qMiZK4mGuCRkVwRFds4Sm,223053,4
37,0.477,0.242,2,-12.065,1,0.0318,0.643,0.00491,0.131,0.106,119.247,audio_features,3HkrEKcOPMBmUemERvy8pq,spotify:track:3HkrEKcOPMBmUemERvy8pq,https://api.spotify.com/v1/tracks/3HkrEKcOPMBmUemERvy8pq,https://api.spotify.com/v1/audio-analysis/3HkrEKcOPMBmUemERvy8pq,224227,4
38,0.572,0.662,7,-6.041,1,0.0316,0.00817,0.0,0.159,0.356,103.025,audio_features,2XzAcJx3qBDnS1hD2vNwbh,spotify:track:2XzAcJx3qBDnS1hD2vNwbh,https://api.spotify.com/v1/tracks/2XzAcJx3qBDnS1hD2vNwbh,https://api.spotify.com/v1/audio-analysis/2XzAcJx3qBDnS1hD2vNwbh,237653,4
39,0.721,0.398,7,-6.603,1,0.0375,0.0014,0.0,0.101,0.36,105.998,audio_features,7ndWF1H191Fx8Jq3xXncqy,spotify:track:7ndWF1H191Fx8Jq3xXncqy,https://api.spotify.com/v1/tracks/7ndWF1H191Fx8Jq3xXncqy,https://api.spotify.com/v1/audio-analysis/7ndWF1H191Fx8Jq3xXncqy,201240,4
40,0.596,0.502,7,-6.783,1,0.0277,0.113,0.797,0.264,0.653,107.719,audio_features,4S3DXtdTdgOIezKgu8DR0M,spotify:track:4S3DXtdTdgOIezKgu8DR0M,https://api.spotify.com/v1/tracks/4S3DXtdTdgOIezKgu8DR0M,https://api.spotify.com/v1/audio-analysis/4S3DXtdTdgOIezKgu8DR0M,124640,4
41,0.532,0.832,10,-6.047,0,0.0535,0.0652,0.0,0.766,0.314,101.989,audio_features,7cyKrN1y4q59bc1gJX3QEG,spotify:track:7cyKrN1y4q59bc1gJX3QEG,https://api.spotify.com/v1/tracks/7cyKrN1y4q59bc1gJX3QEG,https://api.spotify.com/v1/audio-analysis/7cyKrN1y4q59bc1gJX3QEG,192093,4
42,0.441,0.463,10,-8.041,1,0.0283,0.0697,0.00264,0.107,0.343,79.608,audio_features,4SgbELGcdmMdVtSbpkSG6x,spotify:track:4SgbELGcdmMdVtSbpkSG6x,https://api.spotify.com/v1/tracks/4SgbELGcdmMdVtSbpkSG6x,https://api.spotify.com/v1/audio-analysis/4SgbELGcdmMdVtSbpkSG6x,230000,3
43,0.423,0.63,11,-4.953,1,0.0258,0.0884,1.27e-05,0.142,0.216,142.11,audio_features,6Th15XMQ1UIuPrE2y3qKav,spotify:track:6Th15XMQ1UIuPrE2y3qKav,https://api.spotify.com/v1/tracks/6Th15XMQ1UIuPrE2y3qKav,https://api.spotify.com/v1/audio-analysis/6Th15XMQ1UIuPrE2y3qKav,226600,4
44,0.537,0.631,11,-5.405,1,0.0306,0.0581,0.0,0.269,0.511,134.111,audio_features,5FXLX6lLO3SWATDIqfTCzz,spotify:track:5FXLX6lLO3SWATDIqfTCzz,https://api.spotify.com/v1/tracks/5FXLX6lLO3SWATDIqfTCzz,https://api.spotify.com/v1/audio-analysis/5FXLX6lLO3SWATDIqfTCzz,168293,4
45,0.614,0.375,8,-9.464,1,0.0387,0.578,0.0,0.172,0.921,203.998,audio_features,5GMaBMKjisLhVfjRoH5BaW,spotify:track:5GMaBMKjisLhVfjRoH5BaW,https://api.spotify.com/v1/tracks/5GMaBMKjisLhVfjRoH5BaW,https://api.spotify.com/v1/audio-analysis/5GMaBMKjisLhVfjRoH5BaW,160507,4
46,0.708,0.501,11,-8.489,1,0.0296,0.353,1.37e-05,0.144,0.46,77.495,audio_features,5XolYC560U2AD6YJUemw2G,spotify:track:5XolYC560U2AD6YJUemw2G,https://api.spotify.com/v1/tracks/5XolYC560U2AD6YJUemw2G,https://api.spotify.com/v1/audio-analysis/5XolYC560U2AD6YJUemw2G,182680,4
47,0.613,0.798,11,-4.401,1,0.033,0.401,5.93e-06,0.0847,0.836,143.1,audio_features,3yIP9LjgOGpeLMEaRduIPw,spotify:track:3yIP9LjgOGpeLMEaRduIPw,https://api.spotify.com/v1/tracks/3yIP9LjgOGpeLMEaRduIPw,https://api.spotify.com/v1/audio-analysis/3yIP9LjgOGpeLMEaRduIPw,157040,4
48,0.634,0.802,0,-5.468,1,0.0509,0.0463,0.000304,0.147,0.576,116.029,audio_features,7gc4AmlUyV0SY5OkLHLXOZ,spotify:track:7gc4AmlUyV0SY5OkLHLXOZ,https://api.spotify.com/v1/tracks/7gc4AmlUyV0SY5OkLHLXOZ,https://api.spotify.com/v1/audio-analysis/7gc4AmlUyV0SY5OkLHLXOZ,235867,4
